"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
28883;"Íbúðareign";100;113
30417;"Íbúðareign";180;123.1
21486;"Íbúðareign";100;82
22281;"Íbúðareign";120;100.4
26973;"Íbúðareign";130;95.7
14313;"Íbúðareign";100;50
18598;"Íbúðareign";130;81.9
14928;"Íbúðareign";150;76.6
12196;"Íbúðareign";160;57.7
18365;"Íbúðareign";130;80.8
17469;"Íbúðareign";90;74.6
32987;"Íbúðareign";100;100.9
26649;"Íbúðareign";80;112.5
14229;"Íbúðareign";80;53.6
25350;"Íbúðareign";72;105
70163;"Einbýlishús";220;297
14405;"Íbúðareign";100;61.9
21701;"Íbúðareign";161;90.2
11989;"Íbúðareign";160;43.7
20000;"Íbúðareign";100;90
17284;"Íbúðareign";20;51.9
27298;"Íbúðareign";100;80.1
35793;"Íbúðareign";280;113.8
54346;"Íbúðareign";25;115.4
22220;"Íbúðareign";100;94.7
30794;"Íbúðareign";90;104.5
11370;"Íbúðareign";161;57.7
28590;"Íbúðareign";20;100.9
22642;"Íbúðareign";70;90.7
19751;"Íbúðareign";150;114.1
33944;"Íbúðareign";85;100
14359;"Íbúðareign";160;54.6
13891;"Íbúðareign";100;70.9
24290;"Íbúðareign";20;89
30687;"Íbúðareign";20;85.1
22673;"Íbúðareign";120;105.4
16918;"Íbúðareign";120;70.1
16120;"Íbúðareign";170;95.3
28972;"Íbúðareign";130;100.7
27000;"Íbúðareign";72;69.6
21500;"Íbúðareign";161;94.7
39479;"Íbúðareign";283;133.7
21381;"Íbúðareign";72;69
16298;"Íbúðareign";200;82.7
16898;"Íbúðareign";11;48.4
16494;"Íbúðareign";20;53.2
15034;"Íbúðareign";160;62.7
13608;"Íbúðareign";80;59.9
17408;"Íbúðareign";80;103.6
42522;"Íbúðareign";85;141.2
25979;"Íbúðareign";120;112.9
18775;"Íbúðareign";130;93.2
20286;"Einbýlishús";20;115
11344;"Íbúðareign";220;54.8
14380;"Íbúðareign";220;54.8
